p,k,sum_of_weights^p,p@k,weighted_p@k
25,821,185.52896355393017,0.6881851400730816,0.6806965752347949
25,831,186.82141918065233,0.6883273164861613,0.680161541289307
25,841,189.56533492823888,0.6884661117717004,0.6789801838733317
25,851,191.96991399738064,0.6862514688601645,0.678922025297233
25,861,193.15551233972138,0.6806039488966318,0.6735709556494801
25,871,197.02709765467128,0.6808266360505166,0.6770458343673975
25,881,199.4831367588111,0.6799091940976163,0.6756427220984527
25,891,202.61173281863154,0.6812570145903479,0.6777464011229731
25,901,204.45433369263105,0.6792452830188679,0.6753884440072662
25,911,207.52774891668497,0.6794731064763996,0.6770035052798903
25,921,208.6830029619826,0.6775244299674267,0.6730507049372041
25,931,211.83852963784648,0.677765843179377,0.6737095684855555
25,941,212.84488320175774,0.6737513283740701,0.6683438417033533
25,951,214.57585374589246,0.6729758149316509,0.6681638066013389
25,961,216.1744776785698,0.6711758584807492,0.6642874781209317
25,971,217.6043122216261,0.6673532440782698,0.6586728602033534
25,981,218.8073380232992,0.6656472986748216,0.6554413471515264
25,991,220.95577391693905,0.6639757820383451,0.6541729327310764
25,1001,221.3656161835715,0.6583416583416584,0.6487580108263237
25,1011,224.34601913517395,0.6577645895153313,0.6487702929988752
25,1021,227.3925726260727,0.6581782566111655,0.6491855623581824
25,1031,228.78089343859273,0.6566440349175557,0.6471090349231685
25,1041,229.9705129132443,0.6551392891450528,0.644256853506083
25,1051,232.41638758254982,0.6565176022835395,0.6458985967008299
25,1061,236.10426922505775,0.6569274269557022,0.6473033215828388
25,1071,238.18388588592308,0.6573295985060691,0.6460063620975877
25,1081,240.40854221540278,0.6549491211840888,0.6441183873251479
25,1091,241.61187489049414,0.6526122823098075,0.6428441601307742
25,1101,244.65729194262119,0.6530426884650318,0.6449721479603427
25,1111,246.98685955462946,0.6525652565256526,0.6451872505570514
25,1121,248.86020412520458,0.6503122212310437,0.6445591600402115
25,1131,250.9208891790166,0.6507515473032714,0.6444656059468333
25,1141,253.97489344227031,0.6511831726555652,0.6461561733251086
25,1151,257.4730198131921,0.6533449174630755,0.6480992089820197
25,1161,260.89465601004787,0.652885443583118,0.6476138659967641
25,1171,264.29810981694993,0.6524338172502135,0.6476224079378441
25,1181,266.35640025312904,0.6494496189669772,0.6468057477331135
25,1191,270.5240209340267,0.6507136859781696,0.6493566446444348
25,1201,271.84872374625525,0.6477935054121565,0.6461872984629521
25,1211,274.11969372157284,0.6457473162675474,0.6455813668500139
25,1221,276.8566277150722,0.6445536445536445,0.6447114595804933
25,1231,278.4261351154928,0.6425670186839968,0.6430372960359038
25,1241,280.32313976867397,0.6398066075745367,0.6402187858326637
25,1251,282.830613666987,0.6394884092725819,0.6405294132696983
25,1261,286.49624289073125,0.6391752577319587,0.6421923796234225
25,1271,286.78566395590786,0.6372934697088907,0.6389453893553337
25,1281,289.5228944853122,0.6370023419203747,0.6393183386327025
25,1291,291.9106605331101,0.6374903175832688,0.6386825678877325
25,1301,294.3848282410242,0.6364335126825519,0.6373156228976729
25,1311,297.9720700111716,0.6376811594202898,0.6395242030648056
25,1321,300.5213735758949,0.6366389099167298,0.6387190488278777
25,1331,303.89005667176866,0.637114951164538,0.6403055243952255
25,1341,306.28209377679127,0.6368381804623415,0.6387450250086925
25,1351,306.8477709668851,0.6343449296817173,0.6349544224545178
25,1361,308.35158374498496,0.6318883174136665,0.6313515969467958
25,1371,310.6339184354516,0.6309263311451495,0.6300957111096399
25,1381,311.21612677440646,0.6278059377262853,0.627636483714787
25,1391,314.1920046143705,0.6283249460819554,0.6284510761034263
25,1401,316.9991244947504,0.6274089935760171,0.6290479251654225
25,1411,318.0261765456962,0.6250885896527285,0.6273969918779773
25,1421,320.55422758634745,0.625615763546798,0.6280992296446607
25,1431,323.3644022503033,0.6247379454926625,0.6274740235907742
25,1441,324.9153074137779,0.6231783483691881,0.6258855327013503
25,1451,326.76751526427825,0.622329427980703,0.6244433900254835
